moby_id,platform,Business Model,min_os,supported_system,min_ram,supported_drivers,media_type,gamepads_Supported
193614,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,,Download,
193614,Windows Apps+,Commercial,Windows 10,x64 (64-bit),16 GB,,,
193614,Xbox Series+,Commercial,,,,,Download,
201867,PlayStation 5+,Commercial,,,,,Download,
201867,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
201867,Xbox Series+,Commercial,,,,,Blu-Ray Disc; Download,Xbox One/Series Wireless Controller
188150,PlayStation 4+,Commercial,,,,,Download,DualShock 4
188150,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
188150,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,
209731,Windows+,Commercial,Windows 10,x64 (64-bit),4 GB,,,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
231762,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
188798,Windows+,Commercial,Windows 7,,4 GB,,Download,
220049,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,Direct3D,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
216472,Macintosh+,Commercial,macOS 10.15 (Catalina),,8 GB,,Download,
216472,Nintendo Switch+,Commercial,,,,,Download,
216472,PlayStation 4+,Commercial,,,,,Download,DualShock 4
216472,PlayStation 5+,Commercial,,,,,Download,DualSense Controller
216472,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,DualShock 4; Xbox One/Series Wireless Controller
216472,Xbox One+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
216472,Xbox Series+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
164830,PlayStation 4+,Commercial,,,,,Download,DualShock 4
164830,Windows+,Commercial,Windows 10,x64 (64-bit),6 GB,,,Xbox One/Series Wireless Controller
164830,Xbox One+,Commercial,,,,,Download,
164830,Xbox Series+,Commercial,,,,,Download,
149844,Linux+,Commercial,,x64 (64-bit),8 GB,,Download,
149844,Macintosh+,Commercial,macOS 11.1,x64 (64-bit),8 GB,,Download,
149844,Windows+,Commercial,Windows 10,x86 (32-bit); x64 (64-bit),8 GB,Direct3D,Download,
149844,Windows Apps+,Commercial,Windows 10,x64 (64-bit),,,,
157880,Nintendo Switch+,Commercial,,,,,Download; Game Card,
157880,PlayStation 4+,Commercial,,,,,Download,DualShock 4
193361,Macintosh+,Commercial,macOS 10.13 (High Sierra),,4 GB,,Download,
